ID,Description,Status,Notes
MLD-122,MAJOR: Mint request approval failing when system is paused instead request should remain in pending state,X,Modified approveMint to keep requests pending when system is paused
MLD-130,Critical: Mint request failing for unblacklisted wallet address,X,Fixed isAddressBlacklisted to properly handle UNBLACKLIST actions
MLD-131,MAJOR: Mint request failing for Frozen Wallet address,X,Modified approveMint to keep requests pending when address is frozen
MLD-136,Critical: Mint request failing for unblacklisted wallet address,X,Fixed isAddressBlacklisted to properly handle UNBLACKLIST actions
MLD-137,Minor: Mint request for 0 MNEE must not be allowed,X,Added validation to prevent 0 MNEE mint requests in UI and API
MLD-141,Critical: Refund Flow on Portal UI is not Proper and needs to be corrected,X,Modified refund flow to collect address during refund phase instead of burn phase
MLD-164,Critical: Approval button does not disable after approval,X,Added loading state and disabled button during approval process
MLD-169,High: Users are unable to delete newly added fees in the fee structure,X,Removed fee editing functionality as per client request - fees will be configured at deployment time
MLD-170,Low: Text field incorrectly displays "BSV Address" instead of "Ordinal Address",X,Updated address field labels to correctly show "Ordinal Address"
MLD-173,Critical: User unable to approve Pause/Unpause from the Activity section,X,Fixed by updating API endpoint from /api/approve to /api/approveSystem
MLD-175,Medium: When active restrictions are available on the Admin page for approval the same are not reflected on the Dashboard page Pending Activities section,X,Fixed by allowing blacklist requests to be shown and approved from dashboard
MLD-178,Critical: Portal Dashboard -On the Dashboard page under the Mint tab the "Approval" button does not disable after approval,X,Fixed by same changes as MLD-164 (loading state and button disable) 
