Issue key,Summary,Priority,Status,Fixed
MLD-178,"|Critical| Portal Dashboard -On the Dashboard page under the Mint tab, the ""Approval"" button does not disable after approval. Clicking the ""Approval"" button again causes the minting process to fail.",2,Todo,X
MLD-175,|Medium| When active restrictions are available on the Admin page for approval the same are not reflected on the Dashboard page Pending Activities section,1,Todo,X
MLD-174,|Low| Burn History on Admin page shows incorrect details under Requester and Time Column,3,Todo,
MLD-173,|Critical| User unable to approve Pause/Unpause from the Activity section,2,Todo,X
MLD-172,|Low| Portal Customer Page -There is no UI validation implemented during the onboarding process for new customers on the MNEE portal.,0,Deferred,
MLD-171,|Low| Portal Dashboard - The total active restrictions displayed on the Dashboard Restrictions History Graph are incorrect.,3,Todo,
MLD-170,"|Low| While adding customer details, the text field incorrectly displays ""BSV Address"" instead of ""Ordinal Address.",0,Deferred,
MLD-169,|High| Portal Config: Users are unable to delete newly added fees in the fee structure.,2,Todo,
MLD-168,"|Low| Portal Config Page: Users are unable to enter decimal values for MNEE when editing the fee, minimum, or maximum values on the config page.",0,Deferred,
MLD-167,"|Low| Portal Dashboard- The total customer count displayed on the Customer Graph page is incorrect.",2,Todo,
MNEE-166,"|Low| Portal Dashboard - The 24-hour Mint Volume is incorrectly displaying as 0 MNEE, despite MNEE tokens being minted in the last 24 hours through the portal ( Graph reflect correct Value which is 6.2 K MNEE)",1,Todo,
MLD-165,|Medium| MNEE Fee Address on the config page of MNEE portal is showing 0 balance,1,Todo,
MLD-164,"(Critical)In the Admin panel under the Mint tab, the ""Approval"" button does not disable after approval. Clicking the ""Approval"" button again causes the minting process to fail.",1,Todo,X
MLD-153,|Minor| - |P2P Treasury API| - Less than minimum allowed value P2P transaction is giving a 500 Internal Server Error,3,Closed,X
MLD-135,|Low| Able to Mint 90071992547 (>90B) token which is way above Mint limit of 10B,1,Todo,
MLD-122,|MAJOR| Mint request approval failing when system is paused instead request should remain in pending state,1,Not Fixed,X
MLD-131,|MAJOR| Mint request is failing for Frozen Wallet address,1,Not Fixed,X
MLD-130,|Critical| Mint request is failing for Unblacklisted Wallet address,1,Todo,X
MLD-134,"[Medium] When both Blacklist and Freeze requests are raised the user is unable to distinguish between the ""Cancel"" buttons.",2,Todo,
MLD-124,"(Medium) In the Customers Details, the MNEE address balance does not appear ",3,Todo,
MLD-117,"Improvement: On the MNEE portal, even after the page has loaded, multiple API calls continue to be triggered repeatedly.",3,Todo,
MLD-127,(Medium) Missing reason field for Blacklist/Unblacklist/Pause/Unpause/Freeze/Unfreeze,2,Todo,
MLD-128,"[minor] System must check the validity of an address before blacklist and freeze operation",2,Todo,
MLD-139,(Medium) Mint request can be raised for a blacklisted address,1,Todo,X
MLD-118,"Improvement: The Activity Status API is being triggered repeatedly on every page, causing performance issues.",3,Todo,
MLD-87,"(Medium) Update customer details on portal in giving errors",2,Todo,
MLD-136,"(Blocker) Unable to log in to the portal as the Sign-In process redirects to the ""Reset Password"" page, and the password reset functionality is failing",2,Todo,X
MLD-121,The name of unblack list and unfreeze request is shown as incorrect in the Activity section,2,Todo,
MLD-114,"(Minor) Mint volume column is not showing complete value",2,Todo,
MLD-86,"(Low) In the Customers tab, the MNEE address balance does not appear upon navigating to the tab. A refresh is required to display the balance correctly.",3,Todo,
MLD-95,|Critical| Burn refund not working and failing with error,1,Todo,
MLD-94,(Minor)|Burn| Burn request on Admin->Burn Page should have details for Client Address & Name which is missing currently,2,Todo,
MLD-126,(Medium) Error handling not done if we try to blacklist same address even if its already blacklisted,2,Todo,
MLD-120,"In the activity section the approved time is coming 2 times",3,Todo,
MLD-137,"(Minor) Mint request for 0 MNEE must not be allowed",3,Todo,X
MLD-141,(Critical) Refund Flow on Portal UI is not Proper and needs to be corrected,1,Todo,
MLD-138,|BLOCKER| Post Burn operation all Mint approvals failing with 500 error,1,Closed,X
MLD-133,(Minor) Mismatch in the color of the freeze button,3,Todo,
MLD-119,"(Major) Until request is not approved minting must not get halted for paused /blacklisted/ freeze",1,Todo,X
